px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
85.7047	23.8676	1.74832	-0.477314	-0.249544	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006	0.842509
86.9378	23.5028	1.20832	-0.370803	-0.0263708	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654	0.661281
87.0608	23.5334	1.34367	-0.294618	0.0247704	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654	3.89861
88.8085	22.8027	2.2001	-0.434128	-0.0776779	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514	0.606372
88.7255	22.774	1.7842	-0.521984	-0.163928	88.4191	22.9498	88.4904	22.9745	1.23248	-0.450514	1.3786
89.514	22.2967	0.77631	-0.583628	-0.113612	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904	0.705567
89.5835	22.3074	1.10007	-0.529761	-0.0720241	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904	1.01647
90.5111	21.6695	1.23299	-0.610441	-0.0771312	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241	0.0126063
90.5945	21.6871	1.40684	-0.53358	-0.0218738	90.8419	22.0974	90.858	22.0141	1.07929	-0.481241	1.64677
91.7122	21.1065	1.35889	-0.409868	0.0635215	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488964	0.0794615
91.7776	21.1243	1.16911	-0.389487	0.0633937	92.0492	21.5289	91.9302	21.5174	1.01698	-0.488964	1.80308
92.8497	20.9316	1.17306	-0.0620295	0.223041	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443	0.297879
92.9278	20.9512	0.997449	-0.0224024	0.242487	93.3186	21.0712	92.9411	21.016	0.964993	-0.493443	2.32374
93.4754	20.2895	0.325803	-0.580146	-0.21905	93.4668	20.2155	93.9011	20.513	0.92369	-0.495919	2.74992
93.5601	20.3146	1.00131	-0.558595	-0.191517	93.7423	20.5071	93.9011	20.513	0.92369	-0.495919	1.74015
95.2678	19.6343	2.20802	-0.146435	0.156259	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439	2.50092
95.0896	19.6199	1.19517	-0.401418	-0.0165011	94.494	19.8854	94.8209	20.01	0.893308	-0.497439	6.38606
95.5165	19.6752	0.193512	-0.11938	0.145145	95.5039	19.6984	95.7116	19.5078	0.87398	-0.498816	0.893343
95.5525	19.666	0.727335	-0.103024	0.156051	95.6097	19.5804	95.7116	19.5078	0.87398	-0.498816	0.631865
96.263	19.2282	0.808985	-0.554865	-0.186883	96.2641	19.1597	96.5842	19.0065	0.865773	-0.500589	1.47664
96.3116	19.2396	1.00124	-0.526691	-0.163434	96.559	18.8688	96.5842	19.0065	0.865773	-0.500589	0.502686
97.4998	18.7109	1.53828	-0.315748	0.0404284	97.5286	18.727	97.45	18.506	0.868716	-0.503009	0.722602
97.4688	18.7085	1.16086	-0.390698	-0.0137018	97.5333	18.1735	97.45	18.506	0.868716	-0.503009	0.393075
98.2161	18.3697	0.842464	-0.358033	0.0105579	98.2105	18.3739	98.3198	18.0049	0.882805	-0.506023	0.0750344
98.2464	18.374	0.88369	-0.341416	0.0200966	98.4162	18.1556	98.3198	18.0049	0.882805	-0.506023	0.229308
99.0548	17.4267	1.24162	-1.09072	-0.417167	99.0363	17.357	99.2049	17.503	0.908006	-0.509278	2.19622
99.0677	17.4798	1.58179	-0.867299	-0.198672	98.9782	17.2949	99.2049	17.503	0.908006	-0.509278	1.397
99.9753	16.9636	0.885854	-0.631016	0.0561713	99.9969	16.9882	100.117	17.0001	0.944242	-0.512134	1.0006
100.067	16.9732	1.07645	-0.553355	0.108066	100.441	16.9521	100.117	17.0001	0.944242	-0.512134	1.92623
101.187	16.5218	1.36332	-0.241751	0.231366	101.204	16.5368	101.065	16.497	0.991362	-0.513687	0.262495
101.168	16.5227	1.07778	-0.266354	0.206836	101.169	16.4353	101.065	16.497	0.991362	-0.513687	0.18878
102.377	16.3892	1.42032	0.0678235	0.279152	102.387	16.3992	102.063	15.9949	1.04911	-0.512803	0.15536
102.292	16.3787	1.05202	0.0423772	0.261692	102.081	15.8359	102.063	15.9949	1.04911	-0.512803	1.46977
103.001	15.4471	0.377738	-0.855045	-0.39259	103.003	15.353	103.119	15.4967	1.11708	-0.508169	4.87702
102.99	15.4756	1.3117	-0.793405	-0.313959	102.776	15.1195	103.119	15.4967	1.11708	-0.508169	3.80247
104.08	15.2369	0.802499	-0.37112	0.107308	104.114	15.2708	104.244	15.0064	1.19469	-0.498349	1.87953
104.053	15.2116	1.24547	-0.359405	0.114853	103.905	14.7607	104.244	15.0064	1.19469	-0.498349	1.06025
105.531	14.4621	1.98026	-0.500014	-0.0300611	105.541	14.4412	105.447	14.5293	1.28111	-0.481861	0.570472
105.464	14.4465	1.66411	-0.565708	-0.089671	105.316	14.0026	105.447	14.5293	1.28111	-0.481861	0.868473
106.817	14.0265	1.42454	-0.249869	0.151061	106.831	14.0482	106.737	14.0724	1.37529	-0.457255	0.630826
106.757	14.0166	1.50025	-0.274259	0.138009	106.439	14.2401	106.737	14.0724	1.37529	-0.457255	1.13513
108.085	13.6629	1.47446	-0.173021	0.115124	108.084	13.6604	108.122	13.644	1.47592	-0.423202	0.0060761
108.098	13.6643	1.57595	-0.167204	0.121135	108.131	13.6844	108.122	13.644	1.47592	-0.423202	0.0389302
109.534	13.5665	1.55167	0.0259669	0.165165	109.534	13.5714	109.606	13.2536	1.58144	-0.378583	0.0198607
109.496	13.5614	1.48959	0.0185887	0.160444	109.388	13.1556	109.606	13.2536	1.58144	-0.378583	0.355783
111.055	12.6484	1.54455	-0.73698	-0.408998	111.063	12.5814	111.196	12.9118	1.69008	-0.322574	3.35087
111.154	12.6919	2.17345	-0.657567	-0.310418	111.426	12.9557	111.196	12.9118	1.69008	-0.322574	2.3007
112.89	12.4517	1.2955	-0.22379	0.155462	112.913	12.4877	112.893	12.6299	1.7999	-0.254723	2.52627
112.899	12.4356	1.77854	-0.202517	0.167902	112.797	12.8241	112.893	12.6299	1.7999	-0.254723	0.553603
114.792	12.5321	2.05677	0.225924	0.336835	114.801	12.5506	114.699	12.4195	1.90891	-0.175007	0.373889
114.803	12.5367	1.89297	0.233063	0.342037	114.916	12.3187	114.699	12.4195	1.90891	-0.175007	0.174021
116.672	12.1519	1.55946	-0.207985	-0.157418	116.687	12.1035	116.611	12.2921	2.01507	-0.0838683	2.6077
116.728	12.1752	2.14546	-0.206157	-0.137991	116.871	12.0659	116.611	12.2921	2.01507	-0.0838683	0.962926
118.941	11.9855	2.40575	-0.0507925	0.0541638	118.953	12.0009	118.628	12.2586	2.11648	0.0177712	0.4285
118.924	11.9863	2.21437	-0.0572738	0.0492771	118.85	12.4063	118.628	12.2586	2.11648	0.0177712	0.102693
120.704	12.2776	1.7791	0.225402	0.204848	120.695	12.2918	120.743	12.3289	2.21139	0.128528	0.372073
120.76	12.2792	2.14482	0.224359	0.201882	120.934	12.1905	120.743	12.3289	2.21139	0.128528	0.635425
123.538	12.8365	3.24916	0.185466	0.0363245	123.568	12.8297	122.95	12.5114	2.29835	0.246599	1.22302
123.432	12.8205	2.4899	0.21411	0.0586025	123.142	12.7694	122.95	12.5114	2.29835	0.246599	2.36008
124.919	12.7932	1.19811	0.0461815	-0.0906885	124.894	12.7743	125.242	12.8125	2.37624	0.369827	1.44552
125.058	12.8195	2.40588	0.0349362	-0.0951586	125.376	12.9964	125.242	12.8125	2.37624	0.369827	4.50073
127.836	13.3079	3.10801	0.257751	0.12333	127.853	13.3273	127.609	13.2365	2.44434	0.495787	0.852693
127.754	13.3051	2.66919	0.261502	0.134056	127.506	13.153	127.609	13.2365	2.44434	0.495787	1.31916
129.953	13.7087	2.22533	0.211944	0.010584	129.947	13.6963	130.042	13.7853	2.50232	0.621879	0.290545
130.032	13.7179	2.42099	0.201148	0.00247586	130.334	13.781	130.042	13.7853	2.50232	0.621879	1.35578
132.092	14.4952	2.37466	0.387882	0.129733	132.092	14.507	132.53	14.458	2.55028	0.74543	0.330666
132.158	14.5018	2.6935	0.368367	0.113442	132.447	14.3423	132.53	14.458	2.55028	0.74543	1.07218
135.054	15.0619	3.14192	0.110354	-0.140838	135.074	15.0475	135.066	15.2513	2.58865	0.863795	0.859536
135.041	15.0518	2.69529	0.112648	-0.142358	135.127	14.6575	135.066	15.2513	2.58865	0.863795	0.457417
137.56	16.1833	2.73812	0.526566	0.241204	137.561	16.2147	137.639	16.1592	2.61821	0.974442	1.47304
137.6	16.1793	3.09403	0.509786	0.21294	137.653	16.5145	137.639	16.1592	2.61821	0.974442	0.394827
140.321	17.0286	2.78831	0.29179	-0.0886774	140.331	17.008	140.242	17.1733	2.63994	1.07503	0.976786
